,timestamp,visitorid,event,itemid,transactionid
39674,1433265892023,3,view,88,
39690,1433264854837,25,view,178,
39701,1433265809681,3,view,88,
40077,1433268572857,25,view,179,
40110,1433268295149,25,view,158,
40135,1433267928910,25,view,180,
40141,1433267761877,25,view,157,
40240,1433267100979,25,view,181,
40247,1433267969240,11,addtocart,145,
40270,1433266352675,3,view,156,
40305,1433266398926,3,addtocart,156,
40374,1433267005795,3,view,59,
40568,1433283415800,25,view,33,
40615,1433283434531,25,view,182,
40625,1433283833982,25,view,138,
40875,1433237933904,29,view,5,
41283,1433296060018,25,view,183,
41302,1433296057382,25,view,184,
41359,1433296557097,25,view,185,
41397,1433296618179,25,view,186,
41612,1433273412614,3,transaction,76,17265.0
41734,1433270852842,3,view,102,
41755,1433270859955,3,addtocart,102,
41777,1433273230627,25,view,97,
41845,1433279989677,25,view,187,
41917,1433279449385,25,view,188,
41998,1433280324705,25,view,105,
42016,1433280494768,25,view,104,
42042,1433278246806,25,view,160,
42223,1433275110785,25,view,189,
42260,1433274566335,25,view,190,
42505,1433291938718,20,view,1,
42544,1433290735953,25,view,12,
42565,1433290959348,25,view,191,
42573,1433290640692,25,view,192,
42637,1433293255114,11,view,193,
42968,1433262345640,3,view,56,
43178,1433299044197,3,view,194,
43204,1433300151761,25,addtocart,82,
43295,1433266535300,25,view,195,
43369,1433267929097,25,view,196,
43371,1433266902760,3,view,59,
43393,1433269825568,3,view,83,
43422,1433267079777,3,transaction,59,5105.0
43443,1433269841732,3,view,83,
43485,1433269899438,3,view,83,
43525,1433270013349,3,view,197,
43587,1433284995772,25,view,198,
43595,1433288382647,25,view,68,
43614,1433286654313,25,view,199,
43626,1433286643787,25,view,200,
43718,1433285290762,25,view,201,
43724,1433286691541,25,view,202,
43728,1433286641384,25,view,203,
43744,1433286566671,25,view,204,
43757,1433287547167,25,view,205,
44594,1433264593675,25,view,62,
44600,1433264538817,25,view,206,
44603,1433263802425,25,view,109,
44658,1433264530976,25,view,207,
44884,1433253285339,29,view,5,
44949,1433298042607,25,view,208,
45063,1433296102715,25,view,209,
45070,1433294451508,3,view,210,
45092,1433296060584,25,view,211,
45095,1433296057805,25,view,212,
45096,1433296054811,25,view,209,
45111,1433295425314,25,view,68,
45166,1433295641167,25,view,213,
45256,1433271723868,3,view,78,
45266,1433272207042,25,view,214,
45454,1433271654217,25,view,215,
45500,1433283894502,25,view,216,
45637,1433284340181,25,view,217,
45653,1433284376169,25,view,150,
45659,1433284391986,25,view,218,
45766,1433277895803,25,view,219,
45805,1433279927862,25,view,220,
45819,1433277702145,25,view,163,
45843,1433279796564,25,view,51,
45939,1433280283528,25,transaction,51,10529.0
46004,1433275346986,25,view,56,
46009,1433275267548,25,view,57,
46072,1433277417229,25,view,163,
46080,1433274630929,25,view,221,
46089,1433273857827,25,view,222,
46157,1433274652839,25,view,64,
46178,1433275624379,20,view,32,
46266,1433293243307,25,view,223,
46284,1433289408611,11,view,173,
46375,1433290547028,25,view,224,
46393,1433289866736,25,view,225,
46465,1433290777731,3,addtocart,73,
46508,1433259646385,3,view,112,
46519,1433260799348,3,addtocart,113,
46546,1433260816650,3,addtocart,113,
46576,1433260951586,3,view,226,
46836,1433384886513,25,view,227,
46993,1433382817396,25,transaction,228,10955.0
47024,1433350684460,25,transaction,229,3662.0
47026,1433350684460,25,transaction,230,3662.0
47052,1433350256919,25,view,229,
47159,1433352905921,25,view,231,
47161,1433352759847,25,addtocart,232,
47216,1433349323283,25,view,233,
47247,1433351672653,11,view,234,
47398,1433339709340,11,view,235,
47603,1433381934153,25,view,228,
47668,1433381776877,11,view,236,
47690,1433380592394,25,view,237,
47751,1433381345324,25,view,238,
47854,1433377004586,25,view,239,
48022,1433374465755,20,view,21,
48066,1433356333749,25,view,240,
48116,1433356350891,25,view,241,
48159,1433356010727,25,view,242,
48167,1433353249138,10,view,243,
48177,1433355909640,25,view,244,
48272,1433356378345,25,view,245,
48286,1433353567229,25,view,246,
48678,1433370339784,11,view,247,
48710,1433370101389,25,view,248,
48733,1433369018988,25,view,249,
48801,1433370085609,11,view,250,
48819,1433371558446,25,view,251,
48836,1433372486527,25,view,252,
48843,1433372647980,25,view,253,
48848,1433372233764,25,view,86,
48902,1433372523019,25,view,254,
48933,1433371348592,25,view,255,
49244,1433362816384,11,view,256,
49246,1433364280760,10,view,257,
49254,1433362493668,11,view,258,
49489,1433362899169,10,view,259,
49543,1433366565366,25,view,260,
49579,1433364892980,25,view,261,
49603,1433366600913,25,view,262,
50291,1433347980870,25,view,263,
50323,1433347700855,25,view,264,
50425,1433359552437,25,view,265,
50524,1433357333565,25,view,266,
50554,1433357887739,25,addtocart,267,
50561,1433357866955,10,view,268,
50696,1433385846879,25,view,269,
50729,1433383344740,10,view,270,
50745,1433384038926,25,view,56,
50753,1433383196829,25,view,271,
50801,1433384884457,25,view,272,
50815,1433383262560,25,view,273,
50833,1433385578487,25,view,272,
50839,1433385591542,25,view,64,
50954,1433352495195,11,view,274,
51008,1433353041492,25,view,275,
51031,1433351097157,25,view,276,
51070,1433350322268,25,addtocart,230,
51135,1433352605707,25,view,277,
51153,1433352484845,11,view,278,
51177,1433353145817,25,transaction,232,16635.0
51551,1433344852178,20,view,21,
51601,1433347341097,10,view,279,
51731,1433347241377,25,view,280,
51759,1433346383033,25,view,281,
52119,1433373604008,25,view,282,
52180,1433376863301,25,view,283,
52193,1433374492402,20,view,1,
52205,1433376942820,25,view,284,
52208,1433373254731,25,view,285,
52300,1433374914923,25,view,286,
52503,1433324483169,29,view,5,
52538,1433329245601,29,view,5,
52739,1433371284830,10,view,287,
52765,1433369914510,11,view,288,
52820,1433372117839,25,view,289,
52837,1433371473797,25,view,290,
52858,1433371650185,25,view,291,
52886,1433368936790,25,view,292,
53129,1433356569893,25,view,293,
53149,1433356440860,25,view,245,
53240,1433356688889,25,view,293,
53302,1433356229986,25,view,294,
53454,1433366536232,25,view,262,
53472,1433368136843,10,view,295,
53560,1433367139023,25,view,296,
53635,1433364874475,25,view,297,
53686,1433366665458,25,view,298,
53730,1433381312893,25,view,299,
53774,1433378520916,25,view,300,
53807,1433382546942,25,addtocart,228,
53902,1433381329755,25,view,299,
54398,1433360104831,25,transaction,301,14693.0
54410,1433357314120,25,view,266,
54496,1433358004480,25,transaction,267,4538.0
54574,1433360887378,10,view,259,
54637,1433361656860,25,view,302,
54714,1433361110207,11,view,303,
54772,1433362465607,11,view,304,
54806,1433362636713,11,view,247,
54857,1433350256277,25,transaction,305,12837.0
54875,1433352174828,10,view,306,
54877,1433350273680,25,view,229,
54902,1433350293609,25,view,230,
54927,1433352759472,25,addtocart,232,
54928,1433350320952,25,addtocart,229,
54996,1433349811513,25,view,307,
55004,1433349812141,10,view,162,
55084,1433352928645,25,view,308,
55092,1433349427355,25,view,309,
55107,1433350712621,11,view,256,
55143,1433339760193,11,view,310,
55266,1433339646812,11,view,311,
55500,1433392426245,0,view,37,
55665,1433375027654,20,view,21,
55691,1433373635087,25,view,100,
55757,1433374515380,20,view,21,
55792,1433376850981,25,view,283,
55935,1433356497462,25,view,312,
55983,1433356315493,25,view,313,
56088,1433355031129,25,view,314,
56101,1433356329038,25,view,241,
56194,1433356709313,25,view,293,
56216,1433356963692,25,view,315,
56226,1433353785143,25,transaction,246,13370.0
56457,1433329252553,29,view,6,
56767,1433368614064,25,view,56,
56819,1433372675403,25,view,253,
56874,1433384754931,25,view,316,
56899,1433384916011,25,view,317,
56980,1433385294733,25,view,318,
56995,1433386116967,25,view,319,
57032,1433384862195,25,view,272,
57170,1433357318889,25,view,320,
57299,1433358446163,25,view,171,
57383,1433357047069,10,view,321,
57386,1433359818093,25,view,322,
57448,1433357280648,25,view,323,
57477,1433366703803,25,view,324,
57483,1433366713775,25,view,324,
57521,1433366560544,25,view,238,
57592,1433366577236,25,view,262,
57739,1433366619796,25,view,262,
58035,1433346761277,25,view,325,
58125,1433348528406,25,view,326,
58164,1433344801248,20,view,21,
58183,1433346860106,25,view,327,
58197,1433346384111,25,view,328,
58198,1433348005811,25,view,329,
58234,1433344850526,20,view,1,
58241,1433348241556,25,view,330,
58254,1433347242620,25,view,71,
58278,1433346863190,25,view,331,
58318,1433380643394,25,view,332,
58350,1433379270741,25,view,333,
58623,1433384011932,25,view,334,
58626,1433384861456,25,view,227,
58689,1433385197559,25,transaction,318,3038.0
58761,1433385019579,25,addtocart,318,
58776,1433384728177,25,view,335,
58795,1433384984293,25,view,318,
58798,1433383204017,25,view,271,
58807,1433384952651,25,view,272,
58842,1433349711065,25,view,336,
58850,1433349711002,25,view,337,
58929,1433350227659,25,view,307,
58936,1433351717719,11,view,278,
59207,1433339658326,11,view,338,
59394,1433339333485,11,view,339,
59446,1433379257979,25,view,79,
59734,1433374894594,10,view,340,
59803,1433374760434,20,view,32,
59818,1433374915329,25,view,341,
59821,1433375020775,25,view,342,
59878,1433373004006,25,view,343,
59983,1433376832499,25,view,283,
60089,1433356157120,25,view,294,
60164,1433356093377,25,view,146,
60602,1433369488520,11,view,344,
61226,1433363449662,11,view,345,
61232,1433363464685,25,view,346,
61233,1433364267342,10,view,347,
61247,1433364039170,25,view,348,
61367,1433361321426,10,view,147,
61387,1433367031366,25,view,349,
61501,1433367306010,25,view,350,
61610,1433367258707,25,view,351,
61909,1433392426276,0,view,28,
61935,1433348367619,25,view,330,
62011,1433346227085,25,view,352,
62045,1433347470162,11,view,353,
62092,1433347243513,25,view,354,
62228,1433359132170,25,view,355,
62274,1433360896459,11,view,356,
62280,1433358523150,25,view,357,
62283,1433359361686,25,view,55,
62327,1433357791447,25,view,267,
62344,1433358539628,25,view,358,
62361,1433357309250,25,view,359,
62425,1433359894705,25,view,301,
62796,1433351363518,18,view,360,
62819,1433350707131,10,view,361,
62904,1433349966759,25,addtocart,305,
62918,1433351882558,25,view,26,
62923,1433349775922,25,view,307,
63226,1433338672956,29,view,6,
63228,1433338666088,29,view,5,
63437,1433384894745,25,view,227,
63481,1433384923316,25,view,362,
63512,1433386198942,25,view,124,
63525,1433384950331,25,view,72,
63537,1433384917798,25,view,362,
63594,1433386583918,25,view,363,
63611,1433373563327,25,view,282,
63621,1433373694752,25,view,100,
63712,1433374761278,20,view,17,
63775,1433373008902,25,view,364,
63859,1433377206946,25,view,365,
63916,1433356533878,25,view,293,
64331,1433324488926,29,view,6,
64524,1433369897973,11,view,288,
64560,1433368629005,25,view,366,
64580,1433368948157,25,view,292,
64642,1433372474907,25,view,252,
64680,1433370154669,11,view,344,
64725,1433369782813,11,view,234,
64758,1433369607054,11,view,278,
65200,1433364340674,25,view,351,
65271,1433363273210,11,view,124,
65274,1433364484053,25,addtocart,351,
65275,1433363320862,11,view,367,
65337,1433367128189,25,view,368,
65341,1433368568987,25,view,171,
65371,1433368088723,25,view,369,
65423,1433367409351,25,view,370,
65467,1433366561171,25,view,238,
65473,1433367394253,25,view,370,
65498,1433367780980,25,view,371,
65582,1433367441993,25,view,372,
65704,1433379218350,10,view,373,
65833,1433381301262,25,view,374,
65914,1433379227894,25,view,375,
65937,1433348839131,25,transaction,326,2369.0
66031,1433348576640,25,addtocart,326,
66073,1433346319289,25,view,376,
66126,1433346227085,25,view,377,
66133,1433346887396,25,view,378,
66146,1433347328096,10,view,379,
66150,1433346332191,25,view,380,
66293,1433357319893,25,view,323,
66373,1433359980607,25,addtocart,301,
66489,1433386665057,11,view,381,
66608,1433385019360,25,addtocart,318,
66685,1433384729944,25,view,335,
66690,1433386636915,25,view,382,
66730,1433351836729,25,view,307,
66785,1433352820743,25,view,249,
66807,1433349428262,25,view,383,
66847,1433349402151,25,view,384,
66937,1433352984741,25,view,231,
66951,1433352714473,25,view,232,
66980,1433352235902,25,view,385,
67508,1433356348900,25,view,313,
67571,1433353637276,25,addtocart,246,
67580,1433353317347,25,view,386,
67586,1433356473619,25,view,387,
67862,1433374857197,10,view,340,
67920,1433373011904,25,view,388,
68021,1433377022592,25,view,220,
68487,1433370105593,25,view,248,
68603,1433368622925,25,view,389,
68699,1433368617982,25,view,390,
68720,1433368638591,25,view,391,
69057,1433359546892,25,view,392,
69061,1433357545216,25,view,393,
69200,1433357323270,25,view,394,
69234,1433359437170,25,view,395,
69302,1433365517931,25,view,396,
69429,1433368351601,25,view,369,
69485,1433368435361,25,view,397,
69565,1433368588879,25,view,56,
69608,1433363063247,25,view,398,
69610,1433361295210,11,view,108,
69787,1433363894785,25,view,399,
69794,1433363387132,11,view,400,
69880,1433347591466,25,view,239,
70001,1433347661311,25,view,401,
70018,1433347884020,25,view,263,
70047,1433348221476,10,view,402,
70059,1433346217367,25,view,376,
70217,1433381359423,25,view,403,
70387,1433379253038,25,view,56,
71123,1433439413691,18,view,404,
71364,1433461417910,0,view,37,
72445,1433422649081,11,view,405,
72560,1433430091438,29,view,6,
73141,1433459240679,20,view,21,
73524,1433450439635,10,view,406,
74004,1433435076230,10,view,407,
74143,1433464922718,10,view,408,
75239,1433458497103,20,view,21,
75613,1433397932908,0,view,37,
76214,1433430109093,20,view,32,
76292,1433430084108,29,view,5,
76393,1433429823513,20,view,21,
77601,1433434732644,10,view,409,
77624,1433435241923,10,view,274,
79407,1433440055143,10,view,410,
80009,1433430110394,20,view,17,
80194,1433430403711,20,view,21,
80845,1433458494229,20,view,1,
81707,1433432389325,10,view,411,
82495,1433451287232,10,view,412,
83783,1433439343585,18,view,360,
83857,1433429833000,20,view,21,
84829,1433458932168,20,view,32,
85002,1433409172631,29,view,6,
85294,1433435305312,10,view,274,
85621,1433468028580,0,view,28,
87235,1433461417942,0,view,28,
89474,1433435103777,10,view,413,
89522,1433435511088,10,view,67,
90339,1433452100919,11,view,349,
90380,1433437229099,10,view,414,
91547,1433405772072,18,view,360,
91576,1433409169791,29,view,5,
91831,1433429830200,20,view,1,
92714,1433458507726,20,view,21,
92745,1433458932903,20,view,17,
93759,1433527024091,3,view,415,
94048,1433552411145,3,view,416,
94189,1433548447399,3,view,417,
94197,1433548605093,3,transaction,417,4604.0
94669,1433538449618,26,view,418,
94680,1433537040766,11,view,419,
94790,1433546194138,11,view,420,
94791,1433545286481,11,view,421,
95233,1433524606748,3,addtocart,381,
95264,1433524744428,3,transaction,381,11909.0
95286,1433525200594,3,view,422,
95335,1433524865084,3,view,423,
95368,1433523521807,3,transaction,424,6141.0
95384,1433523213234,3,addtocart,424,
95397,1433524488642,3,view,381,
95496,1433558926170,3,view,425,
95775,1433532326122,3,transaction,426,15756.0
95889,1433532102664,3,view,426,
96119,1433541848035,11,view,427,
96247,1433540673346,18,view,360,
96624,1433518820135,20,view,21,
97363,1433550688698,20,view,21,
97401,1433550818458,3,view,416,
97451,1433550232138,20,view,32,
97507,1433550987704,3,view,428,
97878,1433537270762,11,view,429,
97924,1433537336553,11,view,430,
98013,1433536028970,11,view,429,
98155,1433528928700,11,view,431,
99189,1433533833242,20,view,21,
99324,1433547123774,3,addtocart,432,
99333,1433545906127,11,view,433,
99359,1433545536833,11,view,434,
99751,1433522055496,3,transaction,435,4440.0
99753,1433517779631,29,view,6,
99821,1433518124694,20,view,21,
99912,1433519036235,3,view,144,
100196,1433553253872,3,transaction,436,4413.0
100439,1433530138862,11,view,437,
100582,1433537074772,11,view,429,
100727,1433537638355,11,view,438,
101087,1433542155682,11,view,439,
101490,1433506918227,0,view,37,
101893,1433551021473,3,addtocart,428,
101948,1433551147276,3,view,428,
101992,1433548463677,3,addtocart,417,
102021,1433552734304,3,view,436,
102211,1433559093966,3,view,440,
102359,1433532029925,3,view,426,
102580,1433545488842,11,view,216,
102694,1433544987590,11,view,420,
102805,1433547328484,3,view,441,
103134,1433521641967,3,addtocart,435,
103194,1433518738392,3,view,22,
103210,1433522055496,3,transaction,56,4440.0
103235,1433518113534,20,view,21,
103342,1433553157674,3,addtocart,436,
103353,1433558072456,3,view,442,
103514,1433556921516,3,view,117,
103863,1433549899739,20,view,21,
104150,1433529246054,11,view,367,
104292,1433530143236,11,view,443,
104297,1433530141662,11,view,444,
104866,1433484542064,29,view,5,
104879,1433484553162,29,view,6,
105101,1433506918227,0,view,28,
105596,1433559396590,3,transaction,440,10510.0
105778,1433533829615,20,view,1,
105888,1433543049506,11,view,445,
105921,1433546349129,11,view,446,
106133,1433544485395,3,view,447,
106138,1433547247527,3,view,432,
106139,1433547117512,3,view,432,
106423,1433518125725,20,view,1,
106478,1433518710838,3,view,448,
106534,1433518544446,20,view,17,
106872,1433530134979,3,view,449,
106945,1433529074658,3,view,450,
107173,1433550214445,11,view,125,
107184,1433551168065,3,addtocart,428,
107221,1433549908862,20,view,1,
107252,1433547890190,11,view,432,
107287,1433550243667,20,view,17,
107555,1433541341366,11,view,451,
107579,1433542146987,11,view,427,
108038,1433537269008,11,view,452,
108107,1433535536071,11,view,430,
108502,1433523236113,3,view,424,
108619,1433559215761,3,view,453,
108730,1433559189445,3,addtocart,440,
109106,1433532043946,3,addtocart,426,
109166,1433547365467,3,view,432,
109232,1433547558064,3,transaction,432,8502.0
109253,1433547307316,3,view,432,
109313,1433547425092,3,view,432,
109715,1433518003886,3,view,454,
109805,1433521583818,3,view,435,
109951,1433557070290,3,transaction,117,16070.0
110259,1433528703131,3,view,455,
110288,1433528786420,3,view,456,
110452,1433535563058,11,view,429,
111122,1433487729541,18,view,360,
111523,1433523181992,3,view,424,
111701,1433551290746,3,transaction,428,8170.0
111843,1433549916789,20,view,21,
112051,1433559037104,3,view,457,
112202,1433532180071,3,addtocart,426,
112379,1433533871173,20,view,21,
112381,1433542972960,11,view,458,
112468,1433545743702,11,view,446,
112988,1433518544511,20,view,32,
113115,1433517766298,29,view,5,
113123,1433518848988,3,view,22,
113140,1433556969646,3,addtocart,117,
113212,1433553392970,3,view,436,
113457,1433606782037,20,view,21,
113543,1433610394431,3,view,459,
113927,1433636268591,10,view,460,
113975,1433634575006,3,view,461,
113981,1433633990585,3,view,462,
114021,1433636218880,10,view,463,
114124,1433626257395,3,view,464,
114150,1433628894738,3,view,465,
114168,1433626359909,3,view,466,
114192,1433628904170,3,view,467,
114240,1433627577952,3,view,468,
114259,1433628889926,3,view,469,
114261,1433624692019,3,view,470,
114283,1433625975678,3,view,471,
114337,1433629070951,3,addtocart,238,
114640,1433623990587,3,view,472,
114678,1433621765529,3,view,473,
114743,1433618482261,3,view,56,
114850,1433623916278,3,view,474,
114977,1433617216957,3,view,319,
115054,1433614773096,3,addtocart,475,
115103,1433617686333,3,view,476,
115636,1433642573014,3,view,477,
115861,1433606096977,20,view,32,
115950,1433603716880,3,view,169,
115955,1433603716645,3,view,473,
115967,1433610476151,3,addtocart,459,
115995,1433609285611,10,view,74,
115996,1433609870787,10,view,478,
116091,1433610546757,3,view,479,
116204,1433606548820,3,transaction,64,4373.0
116276,1433637685301,3,addtocart,334,
116449,1433622512908,3,view,466,
116456,1433622486216,3,addtocart,464,
116468,1433624255862,3,view,480,
116490,1433623795355,3,view,481,
116504,1433623943276,3,view,482,
